type,native,android,symbol,unicode,utf-8,description
uncategorized,⛳,⛳,⛳,U+26F3,\xE2\x9B\xB3,flag in hole
uncategorized,⛵,⛵,⛵,U+26F5,\xE2\x9B\xB5,sailboat
uncategorized,⛺,⛺,⛺,U+26FA,\xE2\x9B\xBA,tent
uncategorized,⛽,⛽,⛽,U+26FD,\xE2\x9B\xBD,fuel pump
uncategorized,⤴,⤴,⤴,U+2934,\xE2\xA4\xB4,arrow pointing rightwards then curving upwards
uncategorized,⤵,⤵,⤵,U+2935,\xE2\xA4\xB5,arrow pointing rightwards then curving downwards
uncategorized,⬅,⬅,⬅,U+2B05,\xE2\xAC\x85,leftwards black arrow
uncategorized,⬆,⬆,⬆,U+2B06,\xE2\xAC\x86,upwards black arrow
uncategorized,⬇,⬇,⬇,U+2B07,\xE2\xAC\x87,downwards black arrow
uncategorized,⬛,⬛,⬛,U+2B1B,\xE2\xAC\x9B,black large square
uncategorized,⬜,⬜,⬜,U+2B1C,\xE2\xAC\x9C,white large square
uncategorized,⭐,⭐,⭐,U+2B50,\xE2\xAD\x90,white medium star
uncategorized,⭕,⭕,⭕,U+2B55,\xE2\xAD\x95,heavy large circle
uncategorized,〰,〰,〰,U+3030,\xE3\x80\xB0,wavy dash
uncategorized,〽,〽,〽,U+303D,\xE3\x80\xBD,part alternation mark
uncategorized,㊗,㊗,㊗,U+3297,\xE3\x8A\x97,circled ideograph congratulation
uncategorized,㊙,㊙,㊙,U+3299,\xE3\x8A\x99,circled ideograph secret
uncategorized,🀄,🀄,🀄,U+1F004,\xF0\x9F\x80\x84,mahjong tile red dragon
uncategorized,🃏,🃏,🃏,U+1F0CF,\xF0\x9F\x83\x8F,playing card black joker
uncategorized,🌀,🌀,🌀,U+1F300,\xF0\x9F\x8C\x80,cyclone
uncategorized,🌁,🌁,🌁,U+1F301,\xF0\x9F\x8C\x81,foggy
uncategorized,🌂,🌂,🌂,U+1F302,\xF0\x9F\x8C\x82,closed umbrella
uncategorized,🌃,🌃,🌃,U+1F303,\xF0\x9F\x8C\x83,night with stars
uncategorized,🌄,🌄,🌄,U+1F304,\xF0\x9F\x8C\x84,sunrise over mountains
uncategorized,🌅,🌅,🌅,U+1F305,\xF0\x9F\x8C\x85,sunrise
uncategorized,🌆,🌆,🌆,U+1F306,\xF0\x9F\x8C\x86,cityscape at dusk
uncategorized,🌇,🌇,🌇,U+1F307,\xF0\x9F\x8C\x87,sunset over buildings
uncategorized,🌈,🌈,🌈,U+1F308,\xF0\x9F\x8C\x88,rainbow
uncategorized,🌉,🌉,🌉,U+1F309,\xF0\x9F\x8C\x89,bridge at night
uncategorized,🌊,🌊,🌊,U+1F30A,\xF0\x9F\x8C\x8A,water wave
uncategorized,🌋,🌋,🌋,U+1F30B,\xF0\x9F\x8C\x8B,volcano
uncategorized,🌌,🌌,🌌,U+1F30C,\xF0\x9F\x8C\x8C,milky way
uncategorized,🌏,🌏,🌏,U+1F30F,\xF0\x9F\x8C\x8F,earth globe asia-australia
uncategorized,🌑,🌑,🌑,U+1F311,\xF0\x9F\x8C\x91,new moon symbol
uncategorized,🌓,🌓,🌓,U+1F313,\xF0\x9F\x8C\x93,first quarter moon symbol
uncategorized,🌔,🌔,🌔,U+1F314,\xF0\x9F\x8C\x94,waxing gibbous moon symbol
uncategorized,🌕,🌕,🌕,U+1F315,\xF0\x9F\x8C\x95,full moon symbol
uncategorized,🌙,🌙,🌙,U+1F319,\xF0\x9F\x8C\x99,crescent moon
uncategorized,🌛,🌛,🌛,U+1F31B,\xF0\x9F\x8C\x9B,first quarter moon with face
uncategorized,🌟,🌟,🌟,U+1F31F,\xF0\x9F\x8C\x9F,glowing star
uncategorized,🌠,🌠,🌠,U+1F320,\xF0\x9F\x8C\xA0,shooting star
uncategorized,🌰,🌰,🌰,U+1F330,\xF0\x9F\x8C\xB0,chestnut
uncategorized,🌱,🌱,🌱,U+1F331,\xF0\x9F\x8C\xB1,seedling
uncategorized,🌴,🌴,🌴,U+1F334,\xF0\x9F\x8C\xB4,palm tree
uncategorized,🌵,🌵,🌵,U+1F335,\xF0\x9F\x8C\xB5,cactus
uncategorized,🌷,🌷,🌷,U+1F337,\xF0\x9F\x8C\xB7,tulip
uncategorized,🌸,🌸,🌸,U+1F338,\xF0\x9F\x8C\xB8,cherry blossom
uncategorized,🌹,🌹,🌹,U+1F339,\xF0\x9F\x8C\xB9,rose
uncategorized,🌺,🌺,🌺,U+1F33A,\xF0\x9F\x8C\xBA,hibiscus
uncategorized,🌻,🌻,🌻,U+1F33B,\xF0\x9F\x8C\xBB,sunflower
uncategorized,🌼,🌼,🌼,U+1F33C,\xF0\x9F\x8C\xBC,blossom
uncategorized,🌽,🌽,🌽,U+1F33D,\xF0\x9F\x8C\xBD,ear of maize
uncategorized,🌾,🌾,🌾,U+1F33E,\xF0\x9F\x8C\xBE,ear of rice
uncategorized,🌿,🌿,🌿,U+1F33F,\xF0\x9F\x8C\xBF,herb
uncategorized,🍀,🍀,🍀,U+1F340,\xF0\x9F\x8D\x80,four leaf clover
uncategorized,🍁,🍁,🍁,U+1F341,\xF0\x9F\x8D\x81,maple leaf
uncategorized,🍂,🍂,🍂,U+1F342,\xF0\x9F\x8D\x82,fallen leaf
uncategorized,🍃,🍃,🍃,U+1F343,\xF0\x9F\x8D\x83,leaf fluttering in wind
uncategorized,🍄,🍄,🍄,U+1F344,\xF0\x9F\x8D\x84,mushroom
uncategorized,🍅,🍅,🍅,U+1F345,\xF0\x9F\x8D\x85,tomato
uncategorized,🍆,🍆,🍆,U+1F346,\xF0\x9F\x8D\x86,aubergine
uncategorized,🍇,🍇,🍇,U+1F347,\xF0\x9F\x8D\x87,grapes
uncategorized,🍈,🍈,🍈,U+1F348,\xF0\x9F\x8D\x88,melon
uncategorized,🍉,🍉,🍉,U+1F349,\xF0\x9F\x8D\x89,watermelon
uncategorized,🍊,🍊,🍊,U+1F34A,\xF0\x9F\x8D\x8A,tangerine
uncategorized,🍌,🍌,🍌,U+1F34C,\xF0\x9F\x8D\x8C,banana
uncategorized,🍍,🍍,🍍,U+1F34D,\xF0\x9F\x8D\x8D,pineapple
uncategorized,🍎,🍎,🍎,U+1F34E,\xF0\x9F\x8D\x8E,red apple
uncategorized,🍏,🍏,🍏,U+1F34F,\xF0\x9F\x8D\x8F,green apple
uncategorized,🍑,🍑,🍑,U+1F351,\xF0\x9F\x8D\x91,peach
uncategorized,🍒,🍒,🍒,U+1F352,\xF0\x9F\x8D\x92,cherries
uncategorized,🍓,🍓,🍓,U+1F353,\xF0\x9F\x8D\x93,strawberry
uncategorized,🍔,🍔,🍔,U+1F354,\xF0\x9F\x8D\x94,hamburger
uncategorized,🍕,🍕,🍕,U+1F355,\xF0\x9F\x8D\x95,slice of pizza
uncategorized,🍖,🍖,🍖,U+1F356,\xF0\x9F\x8D\x96,meat on bone
uncategorized,🍗,🍗,🍗,U+1F357,\xF0\x9F\x8D\x97,poultry leg
uncategorized,🍘,🍘,🍘,U+1F358,\xF0\x9F\x8D\x98,rice cracker
uncategorized,🍙,🍙,🍙,U+1F359,\xF0\x9F\x8D\x99,rice ball
uncategorized,🍚,🍚,🍚,U+1F35A,\xF0\x9F\x8D\x9A,cooked rice
uncategorized,🍛,🍛,🍛,U+1F35B,\xF0\x9F\x8D\x9B,curry and rice
uncategorized,🍜,🍜,🍜,U+1F35C,\xF0\x9F\x8D\x9C,steaming bowl
uncategorized,🍝,🍝,🍝,U+1F35D,\xF0\x9F\x8D\x9D,spaghetti
uncategorized,🍞,🍞,🍞,U+1F35E,\xF0\x9F\x8D\x9E,bread
uncategorized,🍟,🍟,🍟,U+1F35F,\xF0\x9F\x8D\x9F,french fries
uncategorized,🍠,🍠,🍠,U+1F360,\xF0\x9F\x8D\xA0,roasted sweet potato
uncategorized,🍡,🍡,🍡,U+1F361,\xF0\x9F\x8D\xA1,dango
uncategorized,🍢,🍢,🍢,U+1F362,\xF0\x9F\x8D\xA2,oden
uncategorized,🍣,🍣,🍣,U+1F363,\xF0\x9F\x8D\xA3,sushi
uncategorized,🍤,🍤,🍤,U+1F364,\xF0\x9F\x8D\xA4,fried shrimp
uncategorized,🍥,🍥,🍥,U+1F365,\xF0\x9F\x8D\xA5,fish cake with swirl design
uncategorized,🍦,🍦,🍦,U+1F366,\xF0\x9F\x8D\xA6,soft ice cream
uncategorized,🍧,🍧,🍧,U+1F367,\xF0\x9F\x8D\xA7,shaved ice
uncategorized,🍨,🍨,🍨,U+1F368,\xF0\x9F\x8D\xA8,ice cream
uncategorized,🍩,🍩,🍩,U+1F369,\xF0\x9F\x8D\xA9,doughnut
uncategorized,🍪,🍪,🍪,U+1F36A,\xF0\x9F\x8D\xAA,cookie
uncategorized,🍫,🍫,🍫,U+1F36B,\xF0\x9F\x8D\xAB,chocolate bar
uncategorized,🍬,🍬,🍬,U+1F36C,\xF0\x9F\x8D\xAC,candy
uncategorized,🍭,🍭,🍭,U+1F36D,\xF0\x9F\x8D\xAD,lollipop
uncategorized,🍮,🍮,🍮,U+1F36E,\xF0\x9F\x8D\xAE,custard
uncategorized,🍯,🍯,🍯,U+1F36F,\xF0\x9F\x8D\xAF,honey pot
uncategorized,🍰,🍰,🍰,U+1F370,\xF0\x9F\x8D\xB0,shortcake
uncategorized,🍱,🍱,🍱,U+1F371,\xF0\x9F\x8D\xB1,bento box
uncategorized,🍲,🍲,🍲,U+1F372,\xF0\x9F\x8D\xB2,pot of food
uncategorized,🍳,🍳,🍳,U+1F373,\xF0\x9F\x8D\xB3,cooking
uncategorized,🍴,🍴,🍴,U+1F374,\xF0\x9F\x8D\xB4,fork and knife
uncategorized,🍵,🍵,🍵,U+1F375,\xF0\x9F\x8D\xB5,teacup without handle
uncategorized,🍶,🍶,🍶,U+1F376,\xF0\x9F\x8D\xB6,sake bottle and cup
uncategorized,🍷,🍷,🍷,U+1F377,\xF0\x9F\x8D\xB7,wine glass
uncategorized,🍸,🍸,🍸,U+1F378,\xF0\x9F\x8D\xB8,cocktail glass
uncategorized,🍹,🍹,🍹,U+1F379,\xF0\x9F\x8D\xB9,tropical drink
uncategorized,🍺,🍺,🍺,U+1F37A,\xF0\x9F\x8D\xBA,beer mug
uncategorized,🍻,🍻,🍻,U+1F37B,\xF0\x9F\x8D\xBB,clinking beer mugs
uncategorized,🎀,🎀,🎀,U+1F380,\xF0\x9F\x8E\x80,ribbon
uncategorized,🎁,🎁,🎁,U+1F381,\xF0\x9F\x8E\x81,wrapped present
uncategorized,🎂,🎂,🎂,U+1F382,\xF0\x9F\x8E\x82,birthday cake
uncategorized,🎃,🎃,🎃,U+1F383,\xF0\x9F\x8E\x83,jack-o-lantern
uncategorized,🎄,🎄,🎄,U+1F384,\xF0\x9F\x8E\x84,christmas tree
uncategorized,🎅,🎅,🎅,U+1F385,\xF0\x9F\x8E\x85,father christmas
uncategorized,🎆,🎆,🎆,U+1F386,\xF0\x9F\x8E\x86,fireworks
uncategorized,🎇,🎇,🎇,U+1F387,\xF0\x9F\x8E\x87,firework sparkler
uncategorized,🎈,🎈,🎈,U+1F388,\xF0\x9F\x8E\x88,balloon
uncategorized,🎉,🎉,🎉,U+1F389,\xF0\x9F\x8E\x89,party popper
uncategorized,🎊,🎊,🎊,U+1F38A,\xF0\x9F\x8E\x8A,confetti ball
uncategorized,🎋,🎋,🎋,U+1F38B,\xF0\x9F\x8E\x8B,tanabata tree
uncategorized,🎌,🎌,🎌,U+1F38C,\xF0\x9F\x8E\x8C,crossed flags
uncategorized,🎍,🎍,🎍,U+1F38D,\xF0\x9F\x8E\x8D,pine decoration
uncategorized,🎎,🎎,🎎,U+1F38E,\xF0\x9F\x8E\x8E,japanese dolls
uncategorized,🎏,🎏,🎏,U+1F38F,\xF0\x9F\x8E\x8F,carp streamer
uncategorized,🎐,🎐,🎐,U+1F390,\xF0\x9F\x8E\x90,wind chime
uncategorized,🎑,🎑,🎑,U+1F391,\xF0\x9F\x8E\x91,moon viewing ceremony
uncategorized,🎒,🎒,🎒,U+1F392,\xF0\x9F\x8E\x92,school satchel
uncategorized,🎓,🎓,🎓,U+1F393,\xF0\x9F\x8E\x93,graduation cap
uncategorized,🎠,🎠,🎠,U+1F3A0,\xF0\x9F\x8E\xA0,carousel horse
uncategorized,🎡,🎡,🎡,U+1F3A1,\xF0\x9F\x8E\xA1,ferris wheel
uncategorized,🎢,🎢,🎢,U+1F3A2,\xF0\x9F\x8E\xA2,roller coaster
uncategorized,🎣,🎣,🎣,U+1F3A3,\xF0\x9F\x8E\xA3,fishing pole and fish
uncategorized,🎤,🎤,🎤,U+1F3A4,\xF0\x9F\x8E\xA4,microphone
uncategorized,🎥,🎥,🎥,U+1F3A5,\xF0\x9F\x8E\xA5,movie camera
uncategorized,🎦,🎦,🎦,U+1F3A6,\xF0\x9F\x8E\xA6,cinema
uncategorized,🎧,🎧,🎧,U+1F3A7,\xF0\x9F\x8E\xA7,headphone
uncategorized,🎨,🎨,🎨,U+1F3A8,\xF0\x9F\x8E\xA8,artist palette
uncategorized,🎩,🎩,🎩,U+1F3A9,\xF0\x9F\x8E\xA9,top hat
uncategorized,🎪,🎪,🎪,U+1F3AA,\xF0\x9F\x8E\xAA,circus tent
uncategorized,🎫,🎫,🎫,U+1F3AB,\xF0\x9F\x8E\xAB,ticket
uncategorized,🎬,🎬,🎬,U+1F3AC,\xF0\x9F\x8E\xAC,clapper board
uncategorized,🎭,🎭,🎭,U+1F3AD,\xF0\x9F\x8E\xAD,performing arts
uncategorized,🎮,🎮,🎮,U+1F3AE,\xF0\x9F\x8E\xAE,video game
uncategorized,🎯,🎯,🎯,U+1F3AF,\xF0\x9F\x8E\xAF,direct hit
uncategorized,🎰,🎰,🎰,U+1F3B0,\xF0\x9F\x8E\xB0,slot machine
uncategorized,🎱,🎱,🎱,U+1F3B1,\xF0\x9F\x8E\xB1,billiards
uncategorized,🎲,🎲,🎲,U+1F3B2,\xF0\x9F\x8E\xB2,game die
uncategorized,🎳,🎳,🎳,U+1F3B3,\xF0\x9F\x8E\xB3,bowling
uncategorized,🎴,🎴,🎴,U+1F3B4,\xF0\x9F\x8E\xB4,flower playing cards
uncategorized,🎵,🎵,🎵,U+1F3B5,\xF0\x9F\x8E\xB5,musical note
uncategorized,🎶,🎶,🎶,U+1F3B6,\xF0\x9F\x8E\xB6,multiple musical notes
uncategorized,🎷,🎷,🎷,U+1F3B7,\xF0\x9F\x8E\xB7,saxophone
uncategorized,🎸,🎸,🎸,U+1F3B8,\xF0\x9F\x8E\xB8,guitar
uncategorized,🎹,🎹,🎹,U+1F3B9,\xF0\x9F\x8E\xB9,musical keyboard
uncategorized,🎺,🎺,🎺,U+1F3BA,\xF0\x9F\x8E\xBA,trumpet
uncategorized,🎻,🎻,🎻,U+1F3BB,\xF0\x9F\x8E\xBB,violin
uncategorized,🎼,🎼,🎼,U+1F3BC,\xF0\x9F\x8E\xBC,musical score
uncategorized,🎽,🎽,🎽,U+1F3BD,\xF0\x9F\x8E\xBD,running shirt with sash
uncategorized,🎾,🎾,🎾,U+1F3BE,\xF0\x9F\x8E\xBE,tennis racquet and ball
uncategorized,🎿,🎿,🎿,U+1F3BF,\xF0\x9F\x8E\xBF,ski and ski boot
uncategorized,🏀,🏀,🏀,U+1F3C0,\xF0\x9F\x8F\x80,basketball and hoop
uncategorized,🏁,🏁,🏁,U+1F3C1,\xF0\x9F\x8F\x81,chequered flag
uncategorized,🏂,🏂,🏂,U+1F3C2,\xF0\x9F\x8F\x82,snowboarder
uncategorized,🏃,🏃,🏃,U+1F3C3,\xF0\x9F\x8F\x83,runner
uncategorized,🏄,🏄,🏄,U+1F3C4,\xF0\x9F\x8F\x84,surfer
uncategorized,🏆,🏆,🏆,U+1F3C6,\xF0\x9F\x8F\x86,trophy
uncategorized,🏈,🏈,🏈,U+1F3C8,\xF0\x9F\x8F\x88,american football
uncategorized,🏊,🏊,🏊,U+1F3CA,\xF0\x9F\x8F\x8A,swimmer
uncategorized,🏠,🏠,🏠,U+1F3E0,\xF0\x9F\x8F\xA0,house building
uncategorized,🏡,🏡,🏡,U+1F3E1,\xF0\x9F\x8F\xA1,house with garden
uncategorized,🏢,🏢,🏢,U+1F3E2,\xF0\x9F\x8F\xA2,office building
uncategorized,🏣,🏣,🏣,U+1F3E3,\xF0\x9F\x8F\xA3,japanese post office
uncategorized,🏥,🏥,🏥,U+1F3E5,\xF0\x9F\x8F\xA5,hospital
uncategorized,🏦,🏦,🏦,U+1F3E6,\xF0\x9F\x8F\xA6,bank
uncategorized,🏧,🏧,🏧,U+1F3E7,\xF0\x9F\x8F\xA7,automated teller machine
uncategorized,🏨,🏨,🏨,U+1F3E8,\xF0\x9F\x8F\xA8,hotel
uncategorized,🏩,🏩,🏩,U+1F3E9,\xF0\x9F\x8F\xA9,love hotel
uncategorized,🏪,🏪,🏪,U+1F3EA,\xF0\x9F\x8F\xAA,convenience store
uncategorized,🏫,🏫,🏫,U+1F3EB,\xF0\x9F\x8F\xAB,school
uncategorized,🏬,🏬,🏬,U+1F3EC,\xF0\x9F\x8F\xAC,department store
uncategorized,🏭,🏭,🏭,U+1F3ED,\xF0\x9F\x8F\xAD,factory
uncategorized,🏮,🏮,🏮,U+1F3EE,\xF0\x9F\x8F\xAE,izakaya lantern
uncategorized,🏯,🏯,🏯,U+1F3EF,\xF0\x9F\x8F\xAF,japanese castle
uncategorized,🏰,🏰,🏰,U+1F3F0,\xF0\x9F\x8F\xB0,european castle
uncategorized,🐌,🐌,🐌,U+1F40C,\xF0\x9F\x90\x8C,snail
uncategorized,🐍,🐍,🐍,U+1F40D,\xF0\x9F\x90\x8D,snake
uncategorized,🐎,🐎,🐎,U+1F40E,\xF0\x9F\x90\x8E,horse
uncategorized,🐑,🐑,🐑,U+1F411,\xF0\x9F\x90\x91,sheep
uncategorized,🐒,🐒,🐒,U+1F412,\xF0\x9F\x90\x92,monkey
uncategorized,🐔,🐔,🐔,U+1F414,\xF0\x9F\x90\x94,chicken
uncategorized,🐗,🐗,🐗,U+1F417,\xF0\x9F\x90\x97,boar
uncategorized,🐘,🐘,🐘,U+1F418,\xF0\x9F\x90\x98,elephant
uncategorized,🐙,🐙,🐙,U+1F419,\xF0\x9F\x90\x99,octopus
uncategorized,🐚,🐚,🐚,U+1F41A,\xF0\x9F\x90\x9A,spiral shell
uncategorized,🐛,🐛,🐛,U+1F41B,\xF0\x9F\x90\x9B,bug
uncategorized,🐜,🐜,🐜,U+1F41C,\xF0\x9F\x90\x9C,ant
uncategorized,🐝,🐝,🐝,U+1F41D,\xF0\x9F\x90\x9D,honeybee
uncategorized,🐞,🐞,🐞,U+1F41E,\xF0\x9F\x90\x9E,lady beetle
uncategorized,🐟,🐟,🐟,U+1F41F,\xF0\x9F\x90\x9F,fish
uncategorized,🐠,🐠,🐠,U+1F420,\xF0\x9F\x90\xA0,tropical fish
uncategorized,🐡,🐡,🐡,U+1F421,\xF0\x9F\x90\xA1,blowfish
uncategorized,🐢,🐢,🐢,U+1F422,\xF0\x9F\x90\xA2,turtle
uncategorized,🐣,🐣,🐣,U+1F423,\xF0\x9F\x90\xA3,hatching chick
uncategorized,🐤,🐤,🐤,U+1F424,\xF0\x9F\x90\xA4,baby chick
uncategorized,🐥,🐥,🐥,U+1F425,\xF0\x9F\x90\xA5,front-facing baby chick
uncategorized,🐦,🐦,🐦,U+1F426,\xF0\x9F\x90\xA6,bird
uncategorized,🐧,🐧,🐧,U+1F427,\xF0\x9F\x90\xA7,penguin
uncategorized,🐨,🐨,🐨,U+1F428,\xF0\x9F\x90\xA8,koala
uncategorized,🐩,🐩,🐩,U+1F429,\xF0\x9F\x90\xA9,poodle
uncategorized,🐫,🐫,🐫,U+1F42B,\xF0\x9F\x90\xAB,bactrian camel
uncategorized,🐬,🐬,🐬,U+1F42C,\xF0\x9F\x90\xAC,dolphin
uncategorized,🐭,🐭,🐭,U+1F42D,\xF0\x9F\x90\xAD,mouse face
uncategorized,🐮,🐮,🐮,U+1F42E,\xF0\x9F\x90\xAE,cow face
uncategorized,🐯,🐯,🐯,U+1F42F,\xF0\x9F\x90\xAF,tiger face
uncategorized,🐰,🐰,🐰,U+1F430,\xF0\x9F\x90\xB0,rabbit face
uncategorized,🐱,🐱,🐱,U+1F431,\xF0\x9F\x90\xB1,cat face
uncategorized,🐲,🐲,🐲,U+1F432,\xF0\x9F\x90\xB2,dragon face
uncategorized,🐳,🐳,🐳,U+1F433,\xF0\x9F\x90\xB3,spouting whale
uncategorized,🐴,🐴,🐴,U+1F434,\xF0\x9F\x90\xB4,horse face
uncategorized,🐵,🐵,🐵,U+1F435,\xF0\x9F\x90\xB5,monkey face
uncategorized,🐶,🐶,🐶,U+1F436,\xF0\x9F\x90\xB6,dog face
uncategorized,🐷,🐷,🐷,U+1F437,\xF0\x9F\x90\xB7,pig face
uncategorized,🐸,🐸,🐸,U+1F438,\xF0\x9F\x90\xB8,frog face
uncategorized,🐹,🐹,🐹,U+1F439,\xF0\x9F\x90\xB9,hamster face
uncategorized,🐺,🐺,🐺,U+1F43A,\xF0\x9F\x90\xBA,wolf face
uncategorized,🐻,🐻,🐻,U+1F43B,\xF0\x9F\x90\xBB,bear face
uncategorized,🐼,🐼,🐼,U+1F43C,\xF0\x9F\x90\xBC,panda face
uncategorized,🐽,🐽,🐽,U+1F43D,\xF0\x9F\x90\xBD,pig nose
uncategorized,🐾,🐾,🐾,U+1F43E,\xF0\x9F\x90\xBE,paw prints
uncategorized,👀,👀,👀,U+1F440,\xF0\x9F\x91\x80,eyes
uncategorized,👂,👂,👂,U+1F442,\xF0\x9F\x91\x82,ear
uncategorized,👃,👃,👃,U+1F443,\xF0\x9F\x91\x83,nose
uncategorized,👄,👄,👄,U+1F444,\xF0\x9F\x91\x84,mouth
uncategorized,👅,👅,👅,U+1F445,\xF0\x9F\x91\x85,tongue
uncategorized,👆,👆,👆,U+1F446,\xF0\x9F\x91\x86,white up pointing backhand index
uncategorized,👇,👇,👇,U+1F447,\xF0\x9F\x91\x87,white down pointing backhand index
uncategorized,👈,👈,👈,U+1F448,\xF0\x9F\x91\x88,white left pointing backhand index
uncategorized,👉,👉,👉,U+1F449,\xF0\x9F\x91\x89,white right pointing backhand index
uncategorized,👊,👊,👊,U+1F44A,\xF0\x9F\x91\x8A,fisted hand sign
uncategorized,👋,👋,👋,U+1F44B,\xF0\x9F\x91\x8B,waving hand sign
uncategorized,👌,👌,👌,U+1F44C,\xF0\x9F\x91\x8C,ok hand sign
uncategorized,👍,👍,👍,U+1F44D,\xF0\x9F\x91\x8D,thumbs up sign
uncategorized,👎,👎,👎,U+1F44E,\xF0\x9F\x91\x8E,thumbs down sign
uncategorized,👏,👏,👏,U+1F44F,\xF0\x9F\x91\x8F,clapping hands sign
uncategorized,👐,👐,👐,U+1F450,\xF0\x9F\x91\x90,open hands sign
uncategorized,👑,👑,👑,U+1F451,\xF0\x9F\x91\x91,crown
uncategorized,👒,👒,👒,U+1F452,\xF0\x9F\x91\x92,womans hat
uncategorized,👓,👓,👓,U+1F453,\xF0\x9F\x91\x93,eyeglasses
uncategorized,👔,👔,👔,U+1F454,\xF0\x9F\x91\x94,necktie
uncategorized,👕,👕,👕,U+1F455,\xF0\x9F\x91\x95,t-shirt
uncategorized,👖,👖,👖,U+1F456,\xF0\x9F\x91\x96,jeans
uncategorized,👗,👗,👗,U+1F457,\xF0\x9F\x91\x97,dress
uncategorized,👘,👘,👘,U+1F458,\xF0\x9F\x91\x98,kimono
uncategorized,👙,👙,👙,U+1F459,\xF0\x9F\x91\x99,bikini
uncategorized,👚,👚,👚,U+1F45A,\xF0\x9F\x91\x9A,womans clothes
uncategorized,👛,👛,👛,U+1F45B,\xF0\x9F\x91\x9B,purse
uncategorized,👜,👜,👜,U+1F45C,\xF0\x9F\x91\x9C,handbag
uncategorized,👝,👝,👝,U+1F45D,\xF0\x9F\x91\x9D,pouch
uncategorized,👞,👞,👞,U+1F45E,\xF0\x9F\x91\x9E,mans shoe
uncategorized,👟,👟,👟,U+1F45F,\xF0\x9F\x91\x9F,athletic shoe
uncategorized,👠,👠,👠,U+1F460,\xF0\x9F\x91\xA0,high-heeled shoe
uncategorized,👡,👡,👡,U+1F461,\xF0\x9F\x91\xA1,womans sandal
uncategorized,👢,👢,👢,U+1F462,\xF0\x9F\x91\xA2,womans boots
uncategorized,👣,👣,👣,U+1F463,\xF0\x9F\x91\xA3,footprints
uncategorized,👤,👤,👤,U+1F464,\xF0\x9F\x91\xA4,bust in silhouette
uncategorized,👦,👦,👦,U+1F466,\xF0\x9F\x91\xA6,boy
uncategorized,👧,👧,👧,U+1F467,\xF0\x9F\x91\xA7,girl
uncategorized,👨,👨,👨,U+1F468,\xF0\x9F\x91\xA8,man
uncategorized,👩,👩,👩,U+1F469,\xF0\x9F\x91\xA9,woman
uncategorized,👪,👪,👪,U+1F46A,\xF0\x9F\x91\xAA,family
uncategorized,👫,👫,👫,U+1F46B,\xF0\x9F\x91\xAB,man and woman holding hands
uncategorized,👮,👮,👮,U+1F46E,\xF0\x9F\x91\xAE,police officer
uncategorized,👯,👯,👯,U+1F46F,\xF0\x9F\x91\xAF,woman with bunny ears
uncategorized,👰,👰,👰,U+1F470,\xF0\x9F\x91\xB0,bride with veil
uncategorized,👱,👱,👱,U+1F471,\xF0\x9F\x91\xB1,person with blond hair
uncategorized,👲,👲,👲,U+1F472,\xF0\x9F\x91\xB2,man with gua pi mao
uncategorized,👳,👳,👳,U+1F473,\xF0\x9F\x91\xB3,man with turban
uncategorized,👴,👴,👴,U+1F474,\xF0\x9F\x91\xB4,older man
uncategorized,👵,👵,👵,U+1F475,\xF0\x9F\x91\xB5,older woman
uncategorized,👶,👶,👶,U+1F476,\xF0\x9F\x91\xB6,baby
uncategorized,👷,👷,👷,U+1F477,\xF0\x9F\x91\xB7,construction worker
uncategorized,👸,👸,👸,U+1F478,\xF0\x9F\x91\xB8,princess
uncategorized,👹,👹,👹,U+1F479,\xF0\x9F\x91\xB9,japanese ogre
uncategorized,👺,👺,👺,U+1F47A,\xF0\x9F\x91\xBA,japanese goblin
uncategorized,👻,👻,👻,U+1F47B,\xF0\x9F\x91\xBB,ghost
uncategorized,👼,👼,👼,U+1F47C,\xF0\x9F\x91\xBC,baby angel
uncategorized,👽,👽,👽,U+1F47D,\xF0\x9F\x91\xBD,extraterrestrial alien
uncategorized,👾,👾,👾,U+1F47E,\xF0\x9F\x91\xBE,alien monster
uncategorized,👿,👿,👿,U+1F47F,\xF0\x9F\x91\xBF,imp
uncategorized,💀,💀,💀,U+1F480,\xF0\x9F\x92\x80,skull
uncategorized,💁,💁,💁,U+1F481,\xF0\x9F\x92\x81,information desk person
uncategorized,💂,💂,💂,U+1F482,\xF0\x9F\x92\x82,guardsman
uncategorized,💃,💃,💃,U+1F483,\xF0\x9F\x92\x83,dancer
uncategorized,💄,💄,💄,U+1F484,\xF0\x9F\x92\x84,lipstick
uncategorized,💅,💅,💅,U+1F485,\xF0\x9F\x92\x85,nail polish
uncategorized,💆,💆,💆,U+1F486,\xF0\x9F\x92\x86,face massage
uncategorized,💇,💇,💇,U+1F487,\xF0\x9F\x92\x87,haircut
uncategorized,💈,💈,💈,U+1F488,\xF0\x9F\x92\x88,barber pole
uncategorized,💉,💉,💉,U+1F489,\xF0\x9F\x92\x89,syringe
uncategorized,💊,💊,💊,U+1F48A,\xF0\x9F\x92\x8A,pill
uncategorized,💋,💋,💋,U+1F48B,\xF0\x9F\x92\x8B,kiss mark
uncategorized,💌,💌,💌,U+1F48C,\xF0\x9F\x92\x8C,love letter
uncategorized,💍,💍,💍,U+1F48D,\xF0\x9F\x92\x8D,ring
uncategorized,💎,💎,💎,U+1F48E,\xF0\x9F\x92\x8E,gem stone
