type,native,android,symbol,unicode,utf-8,description
emoticon,😧,😧,😧,U+1F627,\xF0\x9F\x98\xA7,anguished face
emoticon,😬,😬,😬,U+1F62C,\xF0\x9F\x98\xAC,grimacing face
emoticon,😮,😮,😮,U+1F62E,\xF0\x9F\x98\xAE,face with open mouth
emoticon,😯,😯,😯,U+1F62F,\xF0\x9F\x98\xAF,hushed face
emoticon,😴,😴,😴,U+1F634,\xF0\x9F\x98\xB4,sleeping face
emoticon,😶,😶,😶,U+1F636,\xF0\x9F\x98\xB6,face without mouth
dingbats,✂,✂,✂,U+2702,\xE2\x9C\x82,black scissors
dingbats,✅,✅,✅,U+2705,\xE2\x9C\x85,white heavy check mark
dingbats,✈,✈,✈,U+2708,\xE2\x9C\x88,airplane
dingbats,✉,✉,✉,U+2709,\xE2\x9C\x89,envelope
dingbats,✊,✊,✊,U+270A,\xE2\x9C\x8A,raised fist
dingbats,✋,✋,✋,U+270B,\xE2\x9C\x8B,raised hand
dingbats,✌,✌,✌,U+270C,\xE2\x9C\x8C,victory hand
dingbats,✏,✏,✏,U+270F,\xE2\x9C\x8F,pencil
dingbats,✒,✒,✒,U+2712,\xE2\x9C\x92,black nib
dingbats,✔,✔,✔,U+2714,\xE2\x9C\x94,heavy check mark
dingbats,✖,✖,✖,U+2716,\xE2\x9C\x96,heavy multiplication x
dingbats,✨,✨,✨,U+2728,\xE2\x9C\xA8,sparkles
dingbats,✳,✳,✳,U+2733,\xE2\x9C\xB3,eight spoked asterisk
dingbats,✴,✴,✴,U+2734,\xE2\x9C\xB4,eight pointed black star
dingbats,❄,❄,❄,U+2744,\xE2\x9D\x84,snowflake
dingbats,❇,❇,❇,U+2747,\xE2\x9D\x87,sparkle
dingbats,❌,❌,❌,U+274C,\xE2\x9D\x8C,cross mark
dingbats,❎,❎,❎,U+274E,\xE2\x9D\x8E,negative squared cross mark
dingbats,❓,❓,❓,U+2753,\xE2\x9D\x93,black question mark ornament
dingbats,❔,❔,❔,U+2754,\xE2\x9D\x94,white question mark ornament
dingbats,❕,❕,❕,U+2755,\xE2\x9D\x95,white exclamation mark ornament
dingbats,❗,❗,❗,U+2757,\xE2\x9D\x97,heavy exclamation mark symbol
dingbats,❤,❤,❤,U+2764,\xE2\x9D\xA4,heavy black heart
dingbats,➕,➕,➕,U+2795,\xE2\x9E\x95,heavy plus sign
dingbats,➖,➖,➖,U+2796,\xE2\x9E\x96,heavy minus sign
dingbats,➗,➗,➗,U+2797,\xE2\x9E\x97,heavy division sign
dingbats,➡,➡,➡,U+27A1,\xE2\x9E\xA1,black rightwards arrow
dingbats,➰,➰,➰,U+27B0,\xE2\x9E\xB0,curly loop
transport and map symbols,🚀,🚀,🚀,U+1F680,\xF0\x9F\x9A\x80,rocket
transport and map symbols,🚃,🚃,🚃,U+1F683,\xF0\x9F\x9A\x83,railway car
transport and map symbols,🚄,🚄,🚄,U+1F684,\xF0\x9F\x9A\x84,high-speed train
transport and map symbols,🚅,🚅,🚅,U+1F685,\xF0\x9F\x9A\x85,high-speed train with bullet nose
transport and map symbols,🚇,🚇,🚇,U+1F687,\xF0\x9F\x9A\x87,metro
transport and map symbols,🚉,🚉,🚉,U+1F689,\xF0\x9F\x9A\x89,station
transport and map symbols,🚌,🚌,🚌,U+1F68C,\xF0\x9F\x9A\x8C,bus
transport and map symbols,🚏,🚏,🚏,U+1F68F,\xF0\x9F\x9A\x8F,bus stop
transport and map symbols,🚑,🚑,🚑,U+1F691,\xF0\x9F\x9A\x91,ambulance
transport and map symbols,🚒,🚒,🚒,U+1F692,\xF0\x9F\x9A\x92,fire engine
transport and map symbols,🚓,🚓,🚓,U+1F693,\xF0\x9F\x9A\x93,police car
transport and map symbols,🚕,🚕,🚕,U+1F695,\xF0\x9F\x9A\x95,taxi
transport and map symbols,🚗,🚗,🚗,U+1F697,\xF0\x9F\x9A\x97,automobile
transport and map symbols,🚙,🚙,🚙,U+1F699,\xF0\x9F\x9A\x99,recreational vehicle
transport and map symbols,🚚,🚚,🚚,U+1F69A,\xF0\x9F\x9A\x9A,delivery truck
transport and map symbols,🚢,🚢,🚢,U+1F6A2,\xF0\x9F\x9A\xA2,ship
transport and map symbols,🚤,🚤,🚤,U+1F6A4,\xF0\x9F\x9A\xA4,speedboat
transport and map symbols,🚥,🚥,🚥,U+1F6A5,\xF0\x9F\x9A\xA5,horizontal traffic light
transport and map symbols,🚧,🚧,🚧,U+1F6A7,\xF0\x9F\x9A\xA7,construction sign
transport and map symbols,🚨,🚨,🚨,U+1F6A8,\xF0\x9F\x9A\xA8,police cars revolving light
transport and map symbols,🚩,🚩,🚩,U+1F6A9,\xF0\x9F\x9A\xA9,triangular flag on post
transport and map symbols,🚪,🚪,🚪,U+1F6AA,\xF0\x9F\x9A\xAA,door
transport and map symbols,🚫,🚫,🚫,U+1F6AB,\xF0\x9F\x9A\xAB,no entry sign
transport and map symbols,🚬,🚬,🚬,U+1F6AC,\xF0\x9F\x9A\xAC,smoking symbol
