hex_codepoint,status,emoji,e_version,description,utf8_bytes,utf8_str,utf8_clean,unicode_bytes,unicode_str
1F69B,fully-qualified,🚛,E1.0,articulated lorry,b'\xf0\x9f\x9a\x9b',\xf0\x9f\x9a\x9,xf0x9fx9ax9,b'\\U0001f69b',\\U0001f69
1F69C,fully-qualified,🚜,E1.0,tractor,b'\xf0\x9f\x9a\x9c',\xf0\x9f\x9a\x9c,xf0x9fx9ax9c,b'\\U0001f69c',\\U0001f69c
1F3CE FE0F,fully-qualified,🏎️,E0.7,racing car,b'\xf0\x9f\x8f\x8e\xef\xb8\x8f',\xf0\x9f\x8f\x8e\xef\xb8\x8f,xf0x9fx8fx8exefxb8x8f,b'\\U0001f3ce\\ufe0f',\\U0001f3ce\\ufe0f
1F3CE,unqualified,🏎,E0.7,racing car,b'\xf0\x9f\x8f\x8e',\xf0\x9f\x8f\x8e,xf0x9fx8fx8e,b'\\U0001f3ce',\\U0001f3ce
1F3CD FE0F,fully-qualified,🏍️,E0.7,motorcycle,b'\xf0\x9f\x8f\x8d\xef\xb8\x8f',\xf0\x9f\x8f\x8d\xef\xb8\x8f,xf0x9fx8fx8dxefxb8x8f,b'\\U0001f3cd\\ufe0f',\\U0001f3cd\\ufe0f
1F3CD,unqualified,🏍,E0.7,motorcycle,b'\xf0\x9f\x8f\x8d',\xf0\x9f\x8f\x8d,xf0x9fx8fx8d,b'\\U0001f3cd',\\U0001f3cd
1F6F5,fully-qualified,🛵,E3.0,motor scooter,b'\xf0\x9f\x9b\xb5',\xf0\x9f\x9b\xb5,xf0x9fx9bxb5,b'\\U0001f6f5',\\U0001f6f5
1F9BD,fully-qualified,🦽,E12.0,manual wheelchair,b'\xf0\x9f\xa6\xbd',\xf0\x9f\xa6\xbd,xf0x9fxa6xbd,b'\\U0001f9bd',\\U0001f9bd
1F9BC,fully-qualified,🦼,E12.0,motorized wheelchair,b'\xf0\x9f\xa6\xbc',\xf0\x9f\xa6\xbc,xf0x9fxa6xbc,b'\\U0001f9bc',\\U0001f9bc
1F6FA,fully-qualified,🛺,E12.0,auto rickshaw,b'\xf0\x9f\x9b\xba',\xf0\x9f\x9b\xba,xf0x9fx9bxba,b'\\U0001f6fa',\\U0001f6fa
1F6B2,fully-qualified,🚲,E0.6,bicycle,b'\xf0\x9f\x9a\xb2',\xf0\x9f\x9a\xb2,xf0x9fx9axb2,b'\\U0001f6b2',\\U0001f6b2
1F6F4,fully-qualified,🛴,E3.0,kick scooter,b'\xf0\x9f\x9b\xb4',\xf0\x9f\x9b\xb4,xf0x9fx9bxb4,b'\\U0001f6f4',\\U0001f6f4
1F6F9,fully-qualified,🛹,E11.0,skateboard,b'\xf0\x9f\x9b\xb9',\xf0\x9f\x9b\xb9,xf0x9fx9bxb9,b'\\U0001f6f9',\\U0001f6f9
1F6FC,fully-qualified,🛼,E13.0,roller skate,b'\xf0\x9f\x9b\xbc',\xf0\x9f\x9b\xbc,xf0x9fx9bxbc,b'\\U0001f6fc',\\U0001f6fc
1F68F,fully-qualified,🚏,E0.6,bus stop,b'\xf0\x9f\x9a\x8f',\xf0\x9f\x9a\x8f,xf0x9fx9ax8f,b'\\U0001f68f',\\U0001f68f
1F6E3 FE0F,fully-qualified,🛣️,E0.7,motorway,b'\xf0\x9f\x9b\xa3\xef\xb8\x8f',\xf0\x9f\x9b\xa3\xef\xb8\x8f,xf0x9fx9bxa3xefxb8x8f,b'\\U0001f6e3\\ufe0f',\\U0001f6e3\\ufe0f
1F6E3,unqualified,🛣,E0.7,motorway,b'\xf0\x9f\x9b\xa3',\xf0\x9f\x9b\xa3,xf0x9fx9bxa3,b'\\U0001f6e3',\\U0001f6e3
1F6E4 FE0F,fully-qualified,🛤️,E0.7,railway track,b'\xf0\x9f\x9b\xa4\xef\xb8\x8f',\xf0\x9f\x9b\xa4\xef\xb8\x8f,xf0x9fx9bxa4xefxb8x8f,b'\\U0001f6e4\\ufe0f',\\U0001f6e4\\ufe0f
1F6E4,unqualified,🛤,E0.7,railway track,b'\xf0\x9f\x9b\xa4',\xf0\x9f\x9b\xa4,xf0x9fx9bxa4,b'\\U0001f6e4',\\U0001f6e4
1F6E2 FE0F,fully-qualified,🛢️,E0.7,oil drum,b'\xf0\x9f\x9b\xa2\xef\xb8\x8f',\xf0\x9f\x9b\xa2\xef\xb8\x8f,xf0x9fx9bxa2xefxb8x8f,b'\\U0001f6e2\\ufe0f',\\U0001f6e2\\ufe0f
1F6E2,unqualified,🛢,E0.7,oil drum,b'\xf0\x9f\x9b\xa2',\xf0\x9f\x9b\xa2,xf0x9fx9bxa2,b'\\U0001f6e2',\\U0001f6e2
26FD,fully-qualified,⛽,E0.6,fuel pump,b'\xe2\x9b\xbd',\xe2\x9b\xbd,xe2x9bxbd,b'\\u26fd',\\u26fd
1F6DE,fully-qualified,🛞,E14.0,wheel,b'\xf0\x9f\x9b\x9e',\xf0\x9f\x9b\x9e,xf0x9fx9bx9e,b'\\U0001f6de',\\U0001f6de
1F6A8,fully-qualified,🚨,E0.6,police car light,b'\xf0\x9f\x9a\xa8',\xf0\x9f\x9a\xa8,xf0x9fx9axa8,b'\\U0001f6a8',\\U0001f6a8
1F6A5,fully-qualified,🚥,E0.6,horizontal traffic light,b'\xf0\x9f\x9a\xa5',\xf0\x9f\x9a\xa5,xf0x9fx9axa5,b'\\U0001f6a5',\\U0001f6a5
1F6A6,fully-qualified,🚦,E1.0,vertical traffic light,b'\xf0\x9f\x9a\xa6',\xf0\x9f\x9a\xa6,xf0x9fx9axa6,b'\\U0001f6a6',\\U0001f6a6
1F6D1,fully-qualified,🛑,E3.0,stop sign,b'\xf0\x9f\x9b\x91',\xf0\x9f\x9b\x91,xf0x9fx9bx91,b'\\U0001f6d1',\\U0001f6d1
1F6A7,fully-qualified,🚧,E0.6,construction,b'\xf0\x9f\x9a\xa7',\xf0\x9f\x9a\xa7,xf0x9fx9axa7,b'\\U0001f6a7',\\U0001f6a7
2693,fully-qualified,⚓,E0.6,anchor,b'\xe2\x9a\x93',\xe2\x9a\x93,xe2x9ax93,b'\\u2693',\\u2693
1F6DF,fully-qualified,🛟,E14.0,ring buoy,b'\xf0\x9f\x9b\x9f',\xf0\x9f\x9b\x9f,xf0x9fx9bx9f,b'\\U0001f6df',\\U0001f6df
26F5,fully-qualified,⛵,E0.6,sailboat,b'\xe2\x9b\xb5',\xe2\x9b\xb5,xe2x9bxb5,b'\\u26f5',\\u26f5
1F6F6,fully-qualified,🛶,E3.0,canoe,b'\xf0\x9f\x9b\xb6',\xf0\x9f\x9b\xb6,xf0x9fx9bxb6,b'\\U0001f6f6',\\U0001f6f6
1F6A4,fully-qualified,🚤,E0.6,speedboat,b'\xf0\x9f\x9a\xa4',\xf0\x9f\x9a\xa4,xf0x9fx9axa4,b'\\U0001f6a4',\\U0001f6a4
1F6F3 FE0F,fully-qualified,🛳️,E0.7,passenger ship,b'\xf0\x9f\x9b\xb3\xef\xb8\x8f',\xf0\x9f\x9b\xb3\xef\xb8\x8f,xf0x9fx9bxb3xefxb8x8f,b'\\U0001f6f3\\ufe0f',\\U0001f6f3\\ufe0f
1F6F3,unqualified,🛳,E0.7,passenger ship,b'\xf0\x9f\x9b\xb3',\xf0\x9f\x9b\xb3,xf0x9fx9bxb3,b'\\U0001f6f3',\\U0001f6f3
26F4 FE0F,fully-qualified,⛴️,E0.7,ferry,b'\xe2\x9b\xb4\xef\xb8\x8f',\xe2\x9b\xb4\xef\xb8\x8f,xe2x9bxb4xefxb8x8f,b'\\u26f4\\ufe0f',\\u26f4\\ufe0f
26F4,unqualified,⛴,E0.7,ferry,b'\xe2\x9b\xb4',\xe2\x9b\xb4,xe2x9bxb4,b'\\u26f4',\\u26f4
1F6E5 FE0F,fully-qualified,🛥️,E0.7,motor boat,b'\xf0\x9f\x9b\xa5\xef\xb8\x8f',\xf0\x9f\x9b\xa5\xef\xb8\x8f,xf0x9fx9bxa5xefxb8x8f,b'\\U0001f6e5\\ufe0f',\\U0001f6e5\\ufe0f
1F6E5,unqualified,🛥,E0.7,motor boat,b'\xf0\x9f\x9b\xa5',\xf0\x9f\x9b\xa5,xf0x9fx9bxa5,b'\\U0001f6e5',\\U0001f6e5
1F6A2,fully-qualified,🚢,E0.6,ship,b'\xf0\x9f\x9a\xa2',\xf0\x9f\x9a\xa2,xf0x9fx9axa2,b'\\U0001f6a2',\\U0001f6a2
2708 FE0F,fully-qualified,✈️,E0.6,airplane,b'\xe2\x9c\x88\xef\xb8\x8f',\xe2\x9c\x88\xef\xb8\x8f,xe2x9cx88xefxb8x8f,b'\\u2708\\ufe0f',\\u2708\\ufe0f
2708,unqualified,✈,E0.6,airplane,b'\xe2\x9c\x88',\xe2\x9c\x88,xe2x9cx88,b'\\u2708',\\u2708
1F6E9 FE0F,fully-qualified,🛩️,E0.7,small airplane,b'\xf0\x9f\x9b\xa9\xef\xb8\x8f',\xf0\x9f\x9b\xa9\xef\xb8\x8f,xf0x9fx9bxa9xefxb8x8f,b'\\U0001f6e9\\ufe0f',\\U0001f6e9\\ufe0f
1F6E9,unqualified,🛩,E0.7,small airplane,b'\xf0\x9f\x9b\xa9',\xf0\x9f\x9b\xa9,xf0x9fx9bxa9,b'\\U0001f6e9',\\U0001f6e9
1F6EB,fully-qualified,🛫,E1.0,airplane departure,b'\xf0\x9f\x9b\xab',\xf0\x9f\x9b\xa,xf0x9fx9bxa,b'\\U0001f6eb',\\U0001f6e
1F6EC,fully-qualified,🛬,E1.0,airplane arrival,b'\xf0\x9f\x9b\xac',\xf0\x9f\x9b\xac,xf0x9fx9bxac,b'\\U0001f6ec',\\U0001f6ec
