hex_codepoint,status,emoji,e_version,description,utf8_bytes,utf8_str,utf8_clean,unicode_bytes,unicode_str
1F600,fully-qualified,😀,E1.0,grinning face,b'\xf0\x9f\x98\x80',\xf0\x9f\x98\x80,xf0x9fx98x80,b'\\U0001f600',\\U0001f600
1F603,fully-qualified,😃,E0.6,grinning face with big eyes,b'\xf0\x9f\x98\x83',\xf0\x9f\x98\x83,xf0x9fx98x83,b'\\U0001f603',\\U0001f603
1F604,fully-qualified,😄,E0.6,grinning face with smiling eyes,b'\xf0\x9f\x98\x84',\xf0\x9f\x98\x84,xf0x9fx98x84,b'\\U0001f604',\\U0001f604
1F601,fully-qualified,😁,E0.6,beaming face with smiling eyes,b'\xf0\x9f\x98\x81',\xf0\x9f\x98\x81,xf0x9fx98x81,b'\\U0001f601',\\U0001f601
1F606,fully-qualified,😆,E0.6,grinning squinting face,b'\xf0\x9f\x98\x86',\xf0\x9f\x98\x86,xf0x9fx98x86,b'\\U0001f606',\\U0001f606
1F605,fully-qualified,😅,E0.6,grinning face with sweat,b'\xf0\x9f\x98\x85',\xf0\x9f\x98\x85,xf0x9fx98x85,b'\\U0001f605',\\U0001f605
1F923,fully-qualified,🤣,E3.0,rolling on the floor laughing,b'\xf0\x9f\xa4\xa3',\xf0\x9f\xa4\xa3,xf0x9fxa4xa3,b'\\U0001f923',\\U0001f923
1F602,fully-qualified,😂,E0.6,face with tears of joy,b'\xf0\x9f\x98\x82',\xf0\x9f\x98\x82,xf0x9fx98x82,b'\\U0001f602',\\U0001f602
1F642,fully-qualified,🙂,E1.0,slightly smiling face,b'\xf0\x9f\x99\x82',\xf0\x9f\x99\x82,xf0x9fx99x82,b'\\U0001f642',\\U0001f642
1F643,fully-qualified,🙃,E1.0,upside-down face,b'\xf0\x9f\x99\x83',\xf0\x9f\x99\x83,xf0x9fx99x83,b'\\U0001f643',\\U0001f643
1FAE0,fully-qualified,🫠,E14.0,melting face,b'\xf0\x9f\xab\xa0',\xf0\x9f\xab\xa0,xf0x9fxabxa0,b'\\U0001fae0',\\U0001fae0
1F609,fully-qualified,😉,E0.6,winking face,b'\xf0\x9f\x98\x89',\xf0\x9f\x98\x89,xf0x9fx98x89,b'\\U0001f609',\\U0001f609
1F60A,fully-qualified,😊,E0.6,smiling face with smiling eyes,b'\xf0\x9f\x98\x8a',\xf0\x9f\x98\x8a,xf0x9fx98x8a,b'\\U0001f60a',\\U0001f60a
1F607,fully-qualified,😇,E1.0,smiling face with halo,b'\xf0\x9f\x98\x87',\xf0\x9f\x98\x87,xf0x9fx98x87,b'\\U0001f607',\\U0001f607
1F970,fully-qualified,🥰,E11.0,smiling face with hearts,b'\xf0\x9f\xa5\xb0',\xf0\x9f\xa5\xb0,xf0x9fxa5xb0,b'\\U0001f970',\\U0001f970
1F60D,fully-qualified,😍,E0.6,smiling face with heart-eyes,b'\xf0\x9f\x98\x8d',\xf0\x9f\x98\x8d,xf0x9fx98x8d,b'\\U0001f60d',\\U0001f60d
1F929,fully-qualified,🤩,E5.0,star-struck,b'\xf0\x9f\xa4\xa9',\xf0\x9f\xa4\xa9,xf0x9fxa4xa9,b'\\U0001f929',\\U0001f929
1F618,fully-qualified,😘,E0.6,face blowing a kiss,b'\xf0\x9f\x98\x98',\xf0\x9f\x98\x98,xf0x9fx98x98,b'\\U0001f618',\\U0001f618
1F617,fully-qualified,😗,E1.0,kissing face,b'\xf0\x9f\x98\x97',\xf0\x9f\x98\x97,xf0x9fx98x97,b'\\U0001f617',\\U0001f617
263A FE0F,fully-qualified,☺️,E0.6,smiling face,b'\xe2\x98\xba\xef\xb8\x8f',\xe2\x98\xba\xef\xb8\x8f,xe2x98xbaxefxb8x8f,b'\\u263a\\ufe0f',\\u263a\\ufe0f
263A,unqualified,☺,E0.6,smiling face,b'\xe2\x98\xba',\xe2\x98\xba,xe2x98xba,b'\\u263a',\\u263a
1F61A,fully-qualified,😚,E0.6,kissing face with closed eyes,b'\xf0\x9f\x98\x9a',\xf0\x9f\x98\x9a,xf0x9fx98x9a,b'\\U0001f61a',\\U0001f61a
1F619,fully-qualified,😙,E1.0,kissing face with smiling eyes,b'\xf0\x9f\x98\x99',\xf0\x9f\x98\x99,xf0x9fx98x99,b'\\U0001f619',\\U0001f619
1F972,fully-qualified,🥲,E13.0,smiling face with tear,b'\xf0\x9f\xa5\xb2',\xf0\x9f\xa5\xb2,xf0x9fxa5xb2,b'\\U0001f972',\\U0001f972
1F60B,fully-qualified,😋,E0.6,face savoring food,b'\xf0\x9f\x98\x8b',\xf0\x9f\x98\x8,xf0x9fx98x8,b'\\U0001f60b',\\U0001f60
1F61B,fully-qualified,😛,E1.0,face with tongue,b'\xf0\x9f\x98\x9b',\xf0\x9f\x98\x9,xf0x9fx98x9,b'\\U0001f61b',\\U0001f61
1F61C,fully-qualified,😜,E0.6,winking face with tongue,b'\xf0\x9f\x98\x9c',\xf0\x9f\x98\x9c,xf0x9fx98x9c,b'\\U0001f61c',\\U0001f61c
1F92A,fully-qualified,🤪,E5.0,zany face,b'\xf0\x9f\xa4\xaa',\xf0\x9f\xa4\xaa,xf0x9fxa4xaa,b'\\U0001f92a',\\U0001f92a
1F61D,fully-qualified,😝,E0.6,squinting face with tongue,b'\xf0\x9f\x98\x9d',\xf0\x9f\x98\x9d,xf0x9fx98x9d,b'\\U0001f61d',\\U0001f61d
1F911,fully-qualified,🤑,E1.0,money-mouth face,b'\xf0\x9f\xa4\x91',\xf0\x9f\xa4\x91,xf0x9fxa4x91,b'\\U0001f911',\\U0001f911
1F917,fully-qualified,🤗,E1.0,smiling face with open hands,b'\xf0\x9f\xa4\x97',\xf0\x9f\xa4\x97,xf0x9fxa4x97,b'\\U0001f917',\\U0001f917
1F92D,fully-qualified,🤭,E5.0,face with hand over mouth,b'\xf0\x9f\xa4\xad',\xf0\x9f\xa4\xad,xf0x9fxa4xad,b'\\U0001f92d',\\U0001f92d
1FAE2,fully-qualified,🫢,E14.0,face with open eyes and hand over,b'\xf0\x9f\xab\xa2',\xf0\x9f\xab\xa2,xf0x9fxabxa2,b'\\U0001fae2',\\U0001fae2
1FAE3,fully-qualified,🫣,E14.0,face with peeking eye,b'\xf0\x9f\xab\xa3',\xf0\x9f\xab\xa3,xf0x9fxabxa3,b'\\U0001fae3',\\U0001fae3
1F92B,fully-qualified,🤫,E5.0,shushing face,b'\xf0\x9f\xa4\xab',\xf0\x9f\xa4\xa,xf0x9fxa4xa,b'\\U0001f92b',\\U0001f92
1F914,fully-qualified,🤔,E1.0,thinking face,b'\xf0\x9f\xa4\x94',\xf0\x9f\xa4\x94,xf0x9fxa4x94,b'\\U0001f914',\\U0001f914
1FAE1,fully-qualified,🫡,E14.0,saluting face,b'\xf0\x9f\xab\xa1',\xf0\x9f\xab\xa1,xf0x9fxabxa1,b'\\U0001fae1',\\U0001fae1
1F910,fully-qualified,🤐,E1.0,zipper-mouth face,b'\xf0\x9f\xa4\x90',\xf0\x9f\xa4\x90,xf0x9fxa4x90,b'\\U0001f910',\\U0001f910
1F928,fully-qualified,🤨,E5.0,face with raised eyebrow,b'\xf0\x9f\xa4\xa8',\xf0\x9f\xa4\xa8,xf0x9fxa4xa8,b'\\U0001f928',\\U0001f928
1F610,fully-qualified,😐,E0.7,neutral face,b'\xf0\x9f\x98\x90',\xf0\x9f\x98\x90,xf0x9fx98x90,b'\\U0001f610',\\U0001f610
1F611,fully-qualified,😑,E1.0,expressionless face,b'\xf0\x9f\x98\x91',\xf0\x9f\x98\x91,xf0x9fx98x91,b'\\U0001f611',\\U0001f611
1F636,fully-qualified,😶,E1.0,face without mouth,b'\xf0\x9f\x98\xb6',\xf0\x9f\x98\xb6,xf0x9fx98xb6,b'\\U0001f636',\\U0001f636
1FAE5,fully-qualified,🫥,E14.0,dotted line face,b'\xf0\x9f\xab\xa5',\xf0\x9f\xab\xa5,xf0x9fxabxa5,b'\\U0001fae5',\\U0001fae5
1F636 200D 1F32B,fully-qualified,😶‍🌫️,E13.1,face in clouds,b'\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f',\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f,xf0x9fx98xb6xe2x80x8dxf0x9fx8cxabxefxb8x8f,b'\\U0001f636\\u200d\\U0001f32b\\ufe0f',\\U0001f636\\u200d\\U0001f32b\\ufe0f
1F636 200D 1F32B,minimally-qualified,😶‍🌫,E13.1,face in clouds,b'\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab',\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xa,xf0x9fx98xb6xe2x80x8dxf0x9fx8cxa,b'\\U0001f636\\u200d\\U0001f32b',\\U0001f636\\u200d\\U0001f32
1F60F,fully-qualified,😏,E0.6,smirking face,b'\xf0\x9f\x98\x8f',\xf0\x9f\x98\x8f,xf0x9fx98x8f,b'\\U0001f60f',\\U0001f60f
1F612,fully-qualified,😒,E0.6,unamused face,b'\xf0\x9f\x98\x92',\xf0\x9f\x98\x92,xf0x9fx98x92,b'\\U0001f612',\\U0001f612
1F644,fully-qualified,🙄,E1.0,face with rolling eyes,b'\xf0\x9f\x99\x84',\xf0\x9f\x99\x84,xf0x9fx99x84,b'\\U0001f644',\\U0001f644
1F62C,fully-qualified,😬,E1.0,grimacing face,b'\xf0\x9f\x98\xac',\xf0\x9f\x98\xac,xf0x9fx98xac,b'\\U0001f62c',\\U0001f62c
1F62E 200D 1F4A8,fully-qualified,😮‍💨,E13.1,face exhaling,b'\xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8',\xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8,xf0x9fx98xaexe2x80x8dxf0x9fx92xa8,b'\\U0001f62e\\u200d\\U0001f4a8',\\U0001f62e\\u200d\\U0001f4a8
1F925,fully-qualified,🤥,E3.0,lying face,b'\xf0\x9f\xa4\xa5',\xf0\x9f\xa4\xa5,xf0x9fxa4xa5,b'\\U0001f925',\\U0001f925
1F60C,fully-qualified,😌,E0.6,relieved face,b'\xf0\x9f\x98\x8c',\xf0\x9f\x98\x8c,xf0x9fx98x8c,b'\\U0001f60c',\\U0001f60c
1F614,fully-qualified,😔,E0.6,pensive face,b'\xf0\x9f\x98\x94',\xf0\x9f\x98\x94,xf0x9fx98x94,b'\\U0001f614',\\U0001f614
1F62A,fully-qualified,😪,E0.6,sleepy face,b'\xf0\x9f\x98\xaa',\xf0\x9f\x98\xaa,xf0x9fx98xaa,b'\\U0001f62a',\\U0001f62a
1F924,fully-qualified,🤤,E3.0,drooling face,b'\xf0\x9f\xa4\xa4',\xf0\x9f\xa4\xa4,xf0x9fxa4xa4,b'\\U0001f924',\\U0001f924
1F634,fully-qualified,😴,E1.0,sleeping face,b'\xf0\x9f\x98\xb4',\xf0\x9f\x98\xb4,xf0x9fx98xb4,b'\\U0001f634',\\U0001f634
1F637,fully-qualified,😷,E0.6,face with medical mask,b'\xf0\x9f\x98\xb7',\xf0\x9f\x98\xb7,xf0x9fx98xb7,b'\\U0001f637',\\U0001f637
1F912,fully-qualified,🤒,E1.0,face with thermometer,b'\xf0\x9f\xa4\x92',\xf0\x9f\xa4\x92,xf0x9fxa4x92,b'\\U0001f912',\\U0001f912
1F915,fully-qualified,🤕,E1.0,face with head-bandage,b'\xf0\x9f\xa4\x95',\xf0\x9f\xa4\x95,xf0x9fxa4x95,b'\\U0001f915',\\U0001f915
1F922,fully-qualified,🤢,E3.0,nauseated face,b'\xf0\x9f\xa4\xa2',\xf0\x9f\xa4\xa2,xf0x9fxa4xa2,b'\\U0001f922',\\U0001f922
1F92E,fully-qualified,🤮,E5.0,face vomiting,b'\xf0\x9f\xa4\xae',\xf0\x9f\xa4\xae,xf0x9fxa4xae,b'\\U0001f92e',\\U0001f92e
1F927,fully-qualified,🤧,E3.0,sneezing face,b'\xf0\x9f\xa4\xa7',\xf0\x9f\xa4\xa7,xf0x9fxa4xa7,b'\\U0001f927',\\U0001f927
1F975,fully-qualified,🥵,E11.0,hot face,b'\xf0\x9f\xa5\xb5',\xf0\x9f\xa5\xb5,xf0x9fxa5xb5,b'\\U0001f975',\\U0001f975
1F976,fully-qualified,🥶,E11.0,cold face,b'\xf0\x9f\xa5\xb6',\xf0\x9f\xa5\xb6,xf0x9fxa5xb6,b'\\U0001f976',\\U0001f976
1F974,fully-qualified,🥴,E11.0,woozy face,b'\xf0\x9f\xa5\xb4',\xf0\x9f\xa5\xb4,xf0x9fxa5xb4,b'\\U0001f974',\\U0001f974
1F635,fully-qualified,😵,E0.6,face with crossed-out eyes,b'\xf0\x9f\x98\xb5',\xf0\x9f\x98\xb5,xf0x9fx98xb5,b'\\U0001f635',\\U0001f635
1F635 200D 1F4AB,fully-qualified,😵‍💫,E13.1,face with spiral eyes,b'\xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab',\xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xa,xf0x9fx98xb5xe2x80x8dxf0x9fx92xa,b'\\U0001f635\\u200d\\U0001f4ab',\\U0001f635\\u200d\\U0001f4a
1F92F,fully-qualified,🤯,E5.0,exploding head,b'\xf0\x9f\xa4\xaf',\xf0\x9f\xa4\xaf,xf0x9fxa4xaf,b'\\U0001f92f',\\U0001f92f
1F920,fully-qualified,🤠,E3.0,cowboy hat face,b'\xf0\x9f\xa4\xa0',\xf0\x9f\xa4\xa0,xf0x9fxa4xa0,b'\\U0001f920',\\U0001f920
1F973,fully-qualified,🥳,E11.0,partying face,b'\xf0\x9f\xa5\xb3',\xf0\x9f\xa5\xb3,xf0x9fxa5xb3,b'\\U0001f973',\\U0001f973
1F978,fully-qualified,🥸,E13.0,disguised face,b'\xf0\x9f\xa5\xb8',\xf0\x9f\xa5\xb8,xf0x9fxa5xb8,b'\\U0001f978',\\U0001f978
1F60E,fully-qualified,😎,E1.0,smiling face with sunglasses,b'\xf0\x9f\x98\x8e',\xf0\x9f\x98\x8e,xf0x9fx98x8e,b'\\U0001f60e',\\U0001f60e
1F913,fully-qualified,🤓,E1.0,nerd face,b'\xf0\x9f\xa4\x93',\xf0\x9f\xa4\x93,xf0x9fxa4x93,b'\\U0001f913',\\U0001f913
1F9D0,fully-qualified,🧐,E5.0,face with monocle,b'\xf0\x9f\xa7\x90',\xf0\x9f\xa7\x90,xf0x9fxa7x90,b'\\U0001f9d0',\\U0001f9d0
1F615,fully-qualified,😕,E1.0,confused face,b'\xf0\x9f\x98\x95',\xf0\x9f\x98\x95,xf0x9fx98x95,b'\\U0001f615',\\U0001f615
1FAE4,fully-qualified,🫤,E14.0,face with diagonal mouth,b'\xf0\x9f\xab\xa4',\xf0\x9f\xab\xa4,xf0x9fxabxa4,b'\\U0001fae4',\\U0001fae4
1F61F,fully-qualified,😟,E1.0,worried face,b'\xf0\x9f\x98\x9f',\xf0\x9f\x98\x9f,xf0x9fx98x9f,b'\\U0001f61f',\\U0001f61f
1F641,fully-qualified,🙁,E1.0,slightly frowning face,b'\xf0\x9f\x99\x81',\xf0\x9f\x99\x81,xf0x9fx99x81,b'\\U0001f641',\\U0001f641
2639 FE0F,fully-qualified,☹️,E0.7,frowning face,b'\xe2\x98\xb9\xef\xb8\x8f',\xe2\x98\xb9\xef\xb8\x8f,xe2x98xb9xefxb8x8f,b'\\u2639\\ufe0f',\\u2639\\ufe0f
2639,unqualified,☹,E0.7,frowning face,b'\xe2\x98\xb9',\xe2\x98\xb9,xe2x98xb9,b'\\u2639',\\u2639
1F62E,fully-qualified,😮,E1.0,face with open mouth,b'\xf0\x9f\x98\xae',\xf0\x9f\x98\xae,xf0x9fx98xae,b'\\U0001f62e',\\U0001f62e
1F62F,fully-qualified,😯,E1.0,hushed face,b'\xf0\x9f\x98\xaf',\xf0\x9f\x98\xaf,xf0x9fx98xaf,b'\\U0001f62f',\\U0001f62f
1F632,fully-qualified,😲,E0.6,astonished face,b'\xf0\x9f\x98\xb2',\xf0\x9f\x98\xb2,xf0x9fx98xb2,b'\\U0001f632',\\U0001f632
1F633,fully-qualified,😳,E0.6,flushed face,b'\xf0\x9f\x98\xb3',\xf0\x9f\x98\xb3,xf0x9fx98xb3,b'\\U0001f633',\\U0001f633
1F97A,fully-qualified,🥺,E11.0,pleading face,b'\xf0\x9f\xa5\xba',\xf0\x9f\xa5\xba,xf0x9fxa5xba,b'\\U0001f97a',\\U0001f97a
1F979,fully-qualified,🥹,E14.0,face holding back tears,b'\xf0\x9f\xa5\xb9',\xf0\x9f\xa5\xb9,xf0x9fxa5xb9,b'\\U0001f979',\\U0001f979
1F626,fully-qualified,😦,E1.0,frowning face with open mouth,b'\xf0\x9f\x98\xa6',\xf0\x9f\x98\xa6,xf0x9fx98xa6,b'\\U0001f626',\\U0001f626
1F627,fully-qualified,😧,E1.0,anguished face,b'\xf0\x9f\x98\xa7',\xf0\x9f\x98\xa7,xf0x9fx98xa7,b'\\U0001f627',\\U0001f627
1F628,fully-qualified,😨,E0.6,fearful face,b'\xf0\x9f\x98\xa8',\xf0\x9f\x98\xa8,xf0x9fx98xa8,b'\\U0001f628',\\U0001f628
1F630,fully-qualified,😰,E0.6,anxious face with sweat,b'\xf0\x9f\x98\xb0',\xf0\x9f\x98\xb0,xf0x9fx98xb0,b'\\U0001f630',\\U0001f630
1F625,fully-qualified,😥,E0.6,sad but relieved face,b'\xf0\x9f\x98\xa5',\xf0\x9f\x98\xa5,xf0x9fx98xa5,b'\\U0001f625',\\U0001f625
1F622,fully-qualified,😢,E0.6,crying face,b'\xf0\x9f\x98\xa2',\xf0\x9f\x98\xa2,xf0x9fx98xa2,b'\\U0001f622',\\U0001f622
1F62D,fully-qualified,😭,E0.6,loudly crying face,b'\xf0\x9f\x98\xad',\xf0\x9f\x98\xad,xf0x9fx98xad,b'\\U0001f62d',\\U0001f62d
1F631,fully-qualified,😱,E0.6,face screaming in fear,b'\xf0\x9f\x98\xb1',\xf0\x9f\x98\xb1,xf0x9fx98xb1,b'\\U0001f631',\\U0001f631
1F616,fully-qualified,😖,E0.6,confounded face,b'\xf0\x9f\x98\x96',\xf0\x9f\x98\x96,xf0x9fx98x96,b'\\U0001f616',\\U0001f616
1F623,fully-qualified,😣,E0.6,persevering face,b'\xf0\x9f\x98\xa3',\xf0\x9f\x98\xa3,xf0x9fx98xa3,b'\\U0001f623',\\U0001f623
1F61E,fully-qualified,😞,E0.6,disappointed face,b'\xf0\x9f\x98\x9e',\xf0\x9f\x98\x9e,xf0x9fx98x9e,b'\\U0001f61e',\\U0001f61e
1F613,fully-qualified,😓,E0.6,downcast face with sweat,b'\xf0\x9f\x98\x93',\xf0\x9f\x98\x93,xf0x9fx98x93,b'\\U0001f613',\\U0001f613
1F629,fully-qualified,😩,E0.6,weary face,b'\xf0\x9f\x98\xa9',\xf0\x9f\x98\xa9,xf0x9fx98xa9,b'\\U0001f629',\\U0001f629
1F62B,fully-qualified,😫,E0.6,tired face,b'\xf0\x9f\x98\xab',\xf0\x9f\x98\xa,xf0x9fx98xa,b'\\U0001f62b',\\U0001f62
1F971,fully-qualified,🥱,E12.0,yawning face,b'\xf0\x9f\xa5\xb1',\xf0\x9f\xa5\xb1,xf0x9fxa5xb1,b'\\U0001f971',\\U0001f971
1F624,fully-qualified,😤,E0.6,face with steam from nose,b'\xf0\x9f\x98\xa4',\xf0\x9f\x98\xa4,xf0x9fx98xa4,b'\\U0001f624',\\U0001f624
1F621,fully-qualified,😡,E0.6,pouting face,b'\xf0\x9f\x98\xa1',\xf0\x9f\x98\xa1,xf0x9fx98xa1,b'\\U0001f621',\\U0001f621
1F620,fully-qualified,😠,E0.6,angry face,b'\xf0\x9f\x98\xa0',\xf0\x9f\x98\xa0,xf0x9fx98xa0,b'\\U0001f620',\\U0001f620
1F92C,fully-qualified,🤬,E5.0,face with symbols on mouth,b'\xf0\x9f\xa4\xac',\xf0\x9f\xa4\xac,xf0x9fxa4xac,b'\\U0001f92c',\\U0001f92c
1F608,fully-qualified,😈,E1.0,smiling face with horns,b'\xf0\x9f\x98\x88',\xf0\x9f\x98\x88,xf0x9fx98x88,b'\\U0001f608',\\U0001f608
1F47F,fully-qualified,👿,E0.6,angry face with horns,b'\xf0\x9f\x91\xbf',\xf0\x9f\x91\xbf,xf0x9fx91xbf,b'\\U0001f47f',\\U0001f47f
1F480,fully-qualified,💀,E0.6,skull,b'\xf0\x9f\x92\x80',\xf0\x9f\x92\x80,xf0x9fx92x80,b'\\U0001f480',\\U0001f480
2620 FE0F,fully-qualified,☠️,E1.0,skull and crossbones,b'\xe2\x98\xa0\xef\xb8\x8f',\xe2\x98\xa0\xef\xb8\x8f,xe2x98xa0xefxb8x8f,b'\\u2620\\ufe0f',\\u2620\\ufe0f
2620,unqualified,☠,E1.0,skull and crossbones,b'\xe2\x98\xa0',\xe2\x98\xa0,xe2x98xa0,b'\\u2620',\\u2620
1F4A9,fully-qualified,💩,E0.6,pile of poo,b'\xf0\x9f\x92\xa9',\xf0\x9f\x92\xa9,xf0x9fx92xa9,b'\\U0001f4a9',\\U0001f4a9
1F921,fully-qualified,🤡,E3.0,clown face,b'\xf0\x9f\xa4\xa1',\xf0\x9f\xa4\xa1,xf0x9fxa4xa1,b'\\U0001f921',\\U0001f921
1F479,fully-qualified,👹,E0.6,ogre,b'\xf0\x9f\x91\xb9',\xf0\x9f\x91\xb9,xf0x9fx91xb9,b'\\U0001f479',\\U0001f479
1F47A,fully-qualified,👺,E0.6,goblin,b'\xf0\x9f\x91\xba',\xf0\x9f\x91\xba,xf0x9fx91xba,b'\\U0001f47a',\\U0001f47a
1F47B,fully-qualified,👻,E0.6,ghost,b'\xf0\x9f\x91\xbb',\xf0\x9f\x91\xb,xf0x9fx91xb,b'\\U0001f47b',\\U0001f47
1F47D,fully-qualified,👽,E0.6,alien,b'\xf0\x9f\x91\xbd',\xf0\x9f\x91\xbd,xf0x9fx91xbd,b'\\U0001f47d',\\U0001f47d
1F47E,fully-qualified,👾,E0.6,alien monster,b'\xf0\x9f\x91\xbe',\xf0\x9f\x91\xbe,xf0x9fx91xbe,b'\\U0001f47e',\\U0001f47e
1F916,fully-qualified,🤖,E1.0,robot,b'\xf0\x9f\xa4\x96',\xf0\x9f\xa4\x96,xf0x9fxa4x96,b'\\U0001f916',\\U0001f916
1F63A,fully-qualified,😺,E0.6,grinning cat,b'\xf0\x9f\x98\xba',\xf0\x9f\x98\xba,xf0x9fx98xba,b'\\U0001f63a',\\U0001f63a
1F638,fully-qualified,😸,E0.6,grinning cat with smiling eyes,b'\xf0\x9f\x98\xb8',\xf0\x9f\x98\xb8,xf0x9fx98xb8,b'\\U0001f638',\\U0001f638
1F639,fully-qualified,😹,E0.6,cat with tears of joy,b'\xf0\x9f\x98\xb9',\xf0\x9f\x98\xb9,xf0x9fx98xb9,b'\\U0001f639',\\U0001f639
1F63B,fully-qualified,😻,E0.6,smiling cat with heart-eyes,b'\xf0\x9f\x98\xbb',\xf0\x9f\x98\xb,xf0x9fx98xb,b'\\U0001f63b',\\U0001f63
1F63C,fully-qualified,😼,E0.6,cat with wry smile,b'\xf0\x9f\x98\xbc',\xf0\x9f\x98\xbc,xf0x9fx98xbc,b'\\U0001f63c',\\U0001f63c
1F63D,fully-qualified,😽,E0.6,kissing cat,b'\xf0\x9f\x98\xbd',\xf0\x9f\x98\xbd,xf0x9fx98xbd,b'\\U0001f63d',\\U0001f63d
1F640,fully-qualified,🙀,E0.6,weary cat,b'\xf0\x9f\x99\x80',\xf0\x9f\x99\x80,xf0x9fx99x80,b'\\U0001f640',\\U0001f640
1F63F,fully-qualified,😿,E0.6,crying cat,b'\xf0\x9f\x98\xbf',\xf0\x9f\x98\xbf,xf0x9fx98xbf,b'\\U0001f63f',\\U0001f63f
1F63E,fully-qualified,😾,E0.6,pouting cat,b'\xf0\x9f\x98\xbe',\xf0\x9f\x98\xbe,xf0x9fx98xbe,b'\\U0001f63e',\\U0001f63e
1F648,fully-qualified,🙈,E0.6,see-no-evil monkey,b'\xf0\x9f\x99\x88',\xf0\x9f\x99\x88,xf0x9fx99x88,b'\\U0001f648',\\U0001f648
1F649,fully-qualified,🙉,E0.6,hear-no-evil monkey,b'\xf0\x9f\x99\x89',\xf0\x9f\x99\x89,xf0x9fx99x89,b'\\U0001f649',\\U0001f649
1F64A,fully-qualified,🙊,E0.6,speak-no-evil monkey,b'\xf0\x9f\x99\x8a',\xf0\x9f\x99\x8a,xf0x9fx99x8a,b'\\U0001f64a',\\U0001f64a
1F48B,fully-qualified,💋,E0.6,kiss mark,b'\xf0\x9f\x92\x8b',\xf0\x9f\x92\x8,xf0x9fx92x8,b'\\U0001f48b',\\U0001f48
1F48C,fully-qualified,💌,E0.6,love letter,b'\xf0\x9f\x92\x8c',\xf0\x9f\x92\x8c,xf0x9fx92x8c,b'\\U0001f48c',\\U0001f48c
1F498,fully-qualified,💘,E0.6,heart with arrow,b'\xf0\x9f\x92\x98',\xf0\x9f\x92\x98,xf0x9fx92x98,b'\\U0001f498',\\U0001f498
1F49D,fully-qualified,💝,E0.6,heart with ribbon,b'\xf0\x9f\x92\x9d',\xf0\x9f\x92\x9d,xf0x9fx92x9d,b'\\U0001f49d',\\U0001f49d
1F496,fully-qualified,💖,E0.6,sparkling heart,b'\xf0\x9f\x92\x96',\xf0\x9f\x92\x96,xf0x9fx92x96,b'\\U0001f496',\\U0001f496
1F497,fully-qualified,💗,E0.6,growing heart,b'\xf0\x9f\x92\x97',\xf0\x9f\x92\x97,xf0x9fx92x97,b'\\U0001f497',\\U0001f497
1F493,fully-qualified,💓,E0.6,beating heart,b'\xf0\x9f\x92\x93',\xf0\x9f\x92\x93,xf0x9fx92x93,b'\\U0001f493',\\U0001f493
1F49E,fully-qualified,💞,E0.6,revolving hearts,b'\xf0\x9f\x92\x9e',\xf0\x9f\x92\x9e,xf0x9fx92x9e,b'\\U0001f49e',\\U0001f49e
1F495,fully-qualified,💕,E0.6,two hearts,b'\xf0\x9f\x92\x95',\xf0\x9f\x92\x95,xf0x9fx92x95,b'\\U0001f495',\\U0001f495
1F49F,fully-qualified,💟,E0.6,heart decoration,b'\xf0\x9f\x92\x9f',\xf0\x9f\x92\x9f,xf0x9fx92x9f,b'\\U0001f49f',\\U0001f49f
2763 FE0F,fully-qualified,❣️,E1.0,heart exclamation,b'\xe2\x9d\xa3\xef\xb8\x8f',\xe2\x9d\xa3\xef\xb8\x8f,xe2x9dxa3xefxb8x8f,b'\\u2763\\ufe0f',\\u2763\\ufe0f
2763,unqualified,❣,E1.0,heart exclamation,b'\xe2\x9d\xa3',\xe2\x9d\xa3,xe2x9dxa3,b'\\u2763',\\u2763
1F494,fully-qualified,💔,E0.6,broken heart,b'\xf0\x9f\x92\x94',\xf0\x9f\x92\x94,xf0x9fx92x94,b'\\U0001f494',\\U0001f494
2764 FE0F 200D 1,fully-qualified,❤️‍🔥,E13.1,heart on fire,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5',\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5,xe2x9dxa4xefxb8x8fxe2x80x8dxf0x9fx94xa5,b'\\u2764\\ufe0f\\u200d\\U0001f525',\\u2764\\ufe0f\\u200d\\U0001f525
2764 200D 1F525,unqualified,❤‍🔥,E13.1,heart on fire,b'\xe2\x9d\xa4\xe2\x80\x8d\xf0\x9f\x94\xa5',\xe2\x9d\xa4\xe2\x80\x8d\xf0\x9f\x94\xa5,xe2x9dxa4xe2x80x8dxf0x9fx94xa5,b'\\u2764\\u200d\\U0001f525',\\u2764\\u200d\\U0001f525
